"","MODEL","SCENARIO","REGION","VARIABLE","UNIT","Year","value"
"1116997","IMAGE","R5B400","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-58.9647114123684
"1117008","IMAGE","R5B400","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1117025","IMAGE","R5B400","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,105.05047684333
"1117036","IMAGE","R5B400","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1225244","NLU 1.0","R5B0","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,-316.11862
"1225259","NLU 1.0","R5B0","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1225444","NLU 1.0","R5B0","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,-273.948788
"1225459","NLU 1.0","R5B0","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1225484","NLU 1.0","R5B0","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-421.506713
"1225499","NLU 1.0","R5B0","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1225524","NLU 1.0","R5B0","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-44.567447
"1225539","NLU 1.0","R5B0","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1225564","NLU 1.0","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-30.876957
"1225579","NLU 1.0","R5B0","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1228709","NLU 1.0","R5B0LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,-316.11862
"1228724","NLU 1.0","R5B0LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1228909","NLU 1.0","R5B0LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,-273.948788
"1228924","NLU 1.0","R5B0LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1228949","NLU 1.0","R5B0LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-421.506713
"1228964","NLU 1.0","R5B0LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1228989","NLU 1.0","R5B0LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-44.567447
"1229004","NLU 1.0","R5B0LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1229029","NLU 1.0","R5B0LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-30.876957
"1229044","NLU 1.0","R5B0LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1229864","NLU 1.0","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,-316.11862
"1229879","NLU 1.0","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1230064","NLU 1.0","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,-273.948788
"1230079","NLU 1.0","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1230104","NLU 1.0","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-421.506713
"1230119","NLU 1.0","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
